applicant_id,name,age,income,employment_status,credit_score,loan_amount,loan_purpose,existing_debt,approved
2727,Ishaan Mishra,45,910815,Self-Employed,604,647675,Medical,111791,0
2728,Ananya Mishra,37,529128,Salaried,634,400980,Business Expansion,56559,1
2729,Diya Mishra,27,413550,Contract,584,899457,Education,115580,0
2730,Aadhya Mishra,45,1092293,Self-Employed,632,431986,Business Expansion,227604,1
2731,Aarohi Mishra,30,526472,Salaried,702,769695,Medical,82131,1
2732,Anika Mishra,32,564481,Salaried,630,700467,Debt Consolidation,173759,0
2733,Myra Mishra,37,503673,Salaried,701,181470,Home Renovation,119710,1
2734,Sara Mishra,35,547366,Salaried,679,108687,Medical,127245,1
2735,Aisha Mishra,39,456156,Contract,578,492709,Medical,99851,0
2736,Aarav Chopra,44,246228,Salaried,704,269985,Home Renovation,81250,1
2737,Vivaan Chopra,37,597887,Salaried,619,518679,Medical,0,1
2738,Aditya Chopra,33,734946,Salaried,689,1045323,Business Expansion,245745,0
2739,Vihaan Chopra,39,672857,Salaried,690,410613,Debt Consolidation,0,1
2740,Arjun Chopra,37,373604,Self-Employed,632,184048,Business Expansion,112594,0
2741,Sai Chopra,38,851989,Salaried,621,239478,Education,167796,1
2742,Atharv Chopra,29,1037928,Contract,620,806385,Debt Consolidation,18494,0
2743,Ishaan Chopra,33,908307,Self-Employed,676,1316695,Home Renovation,222169,0
2744,Ananya Chopra,26,395609,Contract,605,861324,Medical,83939,0
2745,Diya Chopra,28,1125900,Salaried,588,1152978,Education,179335,0
2746,Aadhya Chopra,40,439983,Salaried,661,290712,Car Purchase,111664,1
2747,Aarohi Chopra,52,497924,Salaried,739,337250,Education,239525,1
2748,Anika Chopra,48,519111,Salaried,680,794933,Medical,115250,0
2749,Myra Chopra,33,246007,Self-Employed,653,118816,Business Expansion,62591,1
2750,Sara Chopra,24,473305,Salaried,643,709917,Car Purchase,88906,0
2751,Aisha Chopra,47,532301,Salaried,686,520442,Debt Consolidation,119442,1
2752,Aarav Ghosh,34,574255,Salaried,618,1149053,Home Renovation,184621,0
2753,Vivaan Ghosh,41,956411,Self-Employed,751,1029288,Medical,94747,1
2754,Aditya Ghosh,28,542439,Salaried,595,804823,Medical,194508,0
2755,Vihaan Ghosh,21,691901,Self-Employed,650,100000,Business Expansion,79894,1
2756,Arjun Ghosh,27,775101,Self-Employed,641,542855,Car Purchase,162481,0
2757,Sai Ghosh,31,588155,Salaried,650,420852,Car Purchase,16596,1
2758,Atharv Ghosh,33,269840,Salaried,601,201178,Business Expansion,62793,1
2759,Ishaan Ghosh,37,526966,Self-Employed,647,263631,Medical,141236,1
2760,Ananya Ghosh,33,645661,Salaried,613,433164,Education,166047,1
2761,Diya Ghosh,33,889410,Salaried,656,1061476,Business Expansion,0,1
2762,Aadhya Ghosh,35,173946,Unemployed,669,188781,Home Renovation,0,0
2763,Aarohi Ghosh,34,669627,Salaried,632,100000,Education,159875,1
2764,Anika Ghosh,38,409287,Salaried,728,1068841,Home Renovation,153034,0
2765,Myra Ghosh,37,462274,Contract,630,612189,Education,97417,0
2766,Sara Ghosh,42,446042,Salaried,718,100000,Debt Consolidation,56266,1
2767,Aisha Ghosh,36,642901,Self-Employed,637,500728,Education,123829,0
2768,Aarav Sharma,31,568544,Salaried,652,661420,Home Renovation,230402,0
2769,Vivaan Sharma,31,580008,Salaried,600,100000,Debt Consolidation,142697,1
2770,Aditya Sharma,39,819349,Salaried,725,760674,Business Expansion,68870,1
2771,Vihaan Sharma,42,426464,Salaried,673,182338,Medical,139665,1
2772,Arjun Sharma,27,592469,Salaried,627,100000,Medical,192452,1
2773,Sai Sharma,39,965835,Self-Employed,632,1807263,Business Expansion,210080,0
2774,Atharv Sharma,35,689892,Salaried,691,963043,Education,40580,0
2775,Ishaan Sharma,31,775726,Salaried,711,912417,Medical,315160,0
2776,Ananya Sharma,34,438968,Salaried,676,514566,Education,66984,1
2777,Diya Sharma,50,150512,Contract,545,387834,Car Purchase,29477,0
2778,Aadhya Sharma,37,431230,Salaried,635,167364,Business Expansion,0,1
2779,Aarohi Sharma,24,459255,Self-Employed,616,607555,Debt Consolidation,252603,0
2780,Anika Sharma,26,821525,Salaried,714,100000,Business Expansion,88772,1
2781,Myra Sharma,32,583857,Salaried,607,234558,Medical,239603,1
2782,Sara Sharma,21,354696,Salaried,644,100000,Education,25011,1
2783,Aisha Sharma,21,714809,Self-Employed,593,629554,Car Purchase,259281,0
2784,Aarav Verma,39,369913,Salaried,717,442861,Home Renovation,236610,0
2785,Vivaan Verma,23,507552,Salaried,607,314079,Debt Consolidation,73768,1
2786,Aditya Verma,32,1397520,Self-Employed,650,1682664,Car Purchase,478667,0
2787,Vihaan Verma,34,1070252,Self-Employed,599,1022368,Medical,266567,0
2788,Arjun Verma,21,341857,Contract,524,561347,Business Expansion,11255,0
2789,Sai Verma,22,651271,Contract,482,1445877,Debt Consolidation,193394,0
2790,Atharv Verma,33,544103,Salaried,655,614623,Car Purchase,131740,0
2791,Ishaan Verma,28,482311,Unemployed,644,416215,Car Purchase,149954,0
2792,Ananya Verma,30,412398,Salaried,651,453646,Car Purchase,258202,0
2793,Diya Verma,40,556095,Salaried,707,638394,Medical,4307,1
2794,Aadhya Verma,39,244028,Self-Employed,619,373170,Debt Consolidation,100607,0
2795,Aarohi Verma,44,310763,Salaried,759,247342,Business Expansion,110680,1
2796,Anika Verma,33,586055,Salaried,631,754444,Car Purchase,145714,0
2797,Myra Verma,25,465400,Salaried,643,270862,Medical,118122,1
2798,Sara Verma,28,585468,Salaried,690,100000,Home Renovation,146534,1
2799,Aisha Verma,35,333891,Salaried,682,183997,Home Renovation,123298,1
2800,Aarav Iyer,28,314156,Salaried,622,232594,Education,115107,0
2801,Vivaan Iyer,25,707863,Self-Employed,684,806905,Business Expansion,243124,0
2802,Aditya Iyer,35,393099,Self-Employed,701,210314,Medical,64715,1
2803,Vihaan Iyer,35,567185,Salaried,688,268000,Debt Consolidation,67393,1
2804,Arjun Iyer,41,573787,Salaried,628,100000,Medical,191587,1
2805,Sai Iyer,27,312825,Contract,534,100000,Home Renovation,51020,0
2806,Atharv Iyer,39,379610,Salaried,631,149796,Home Renovation,168060,0
2807,Ishaan Iyer,42,617114,Self-Employed,751,502725,Medical,128811,1
2808,Ananya Iyer,42,212856,Unemployed,616,297492,Home Renovation,39748,0
2809,Diya Iyer,23,553638,Salaried,605,743741,Home Renovation,151144,0
2810,Aadhya Iyer,34,635477,Self-Employed,643,911102,Car Purchase,140279,0
2811,Aarohi Iyer,21,541431,Salaried,685,426741,Car Purchase,218199,0
2812,Anika Iyer,30,150000,Unemployed,598,153417,Car Purchase,44944,0
2813,Myra Iyer,35,947160,Self-Employed,601,1367991,Home Renovation,231210,0
2814,Sara Iyer,46,716001,Salaried,654,803125,Home Renovation,225014,0
2815,Aisha Iyer,28,1572962,Self-Employed,572,346578,Education,181969,1
2816,Aarav Kumar,30,796536,Salaried,633,670488,Education,197346,1
2817,Vivaan Kumar,39,305637,Salaried,683,372227,Business Expansion,39632,1
2818,Aditya Kumar,40,558345,Salaried,683,787414,Business Expansion,160139,0
2819,Vihaan Kumar,30,252635,Unemployed,535,278583,Debt Consolidation,20075,0
2820,Arjun Kumar,39,367558,Salaried,620,175586,Debt Consolidation,111182,1
2821,Sai Kumar,25,788144,Self-Employed,659,1009094,Home Renovation,47455,0
2822,Atharv Kumar,35,765929,Salaried,667,1303128,Car Purchase,201808,0
2823,Ishaan Kumar,47,447285,Self-Employed,604,232473,Medical,167287,0
2824,Ananya Kumar,44,522483,Salaried,704,401536,Debt Consolidation,235849,0
2825,Diya Kumar,31,392123,Contract,514,695799,Education,89446,0
2826,Aadhya Kumar,35,504758,Contract,590,631417,Medical,98486,0
2827,Aarohi Kumar,41,431778,Salaried,621,442427,Business Expansion,181939,0
2828,Anika Kumar,23,473744,Salaried,639,127974,Debt Consolidation,180367,1
2829,Myra Kumar,44,434399,Contract,615,100000,Education,23837,1
2830,Sara Kumar,24,335031,Contract,579,646045,Home Renovation,22941,0
2831,Aisha Kumar,21,408171,Salaried,604,621469,Business Expansion,126413,0
2832,Aarav Patel,24,559822,Contract,541,100000,Home Renovation,143131,0
2833,Vivaan Patel,33,755468,Salaried,655,100000,Education,159051,1
2834,Aditya Patel,30,368059,Salaried,651,809238,Education,145782,0
2835,Vihaan Patel,30,338447,Salaried,632,891042,Car Purchase,96495,0
2836,Arjun Patel,30,657518,Salaried,612,662206,Business Expansion,2493,1
2837,Sai Patel,31,150000,Contract,596,195566,Debt Consolidation,79797,0
2838,Atharv Patel,43,470484,Self-Employed,629,164116,Education,115610,1
2839,Ishaan Patel,43,536342,Salaried,648,299830,Business Expansion,138311,1
2840,Ananya Patel,28,598583,Salaried,598,315240,Car Purchase,47956,1
2841,Diya Patel,30,500821,Contract,618,142799,Business Expansion,230856,0
2842,Aadhya Patel,56,600582,Salaried,610,866470,Home Renovation,113895,0
2843,Aarohi Patel,40,797386,Salaried,708,1168026,Education,281469,0
2844,Anika Patel,28,472027,Salaried,627,722654,Business Expansion,123991,0
2845,Myra Patel,33,478607,Salaried,611,608081,Business Expansion,0,0
2846,Sara Patel,26,690095,Salaried,666,1265895,Car Purchase,241363,0
2847,Aisha Patel,38,279230,Contract,659,297463,Business Expansion,156436,0
2848,Aarav Singh,42,522446,Salaried,710,100000,Education,218984,1
2849,Vivaan Singh,41,370299,Salaried,662,102538,Medical,159902,1
2850,Aditya Singh,22,279734,Contract,619,172039,Education,29692,1
2851,Vihaan Singh,25,2041373,Self-Employed,642,2221459,Business Expansion,672236,0
2852,Arjun Singh,31,571324,Self-Employed,618,437358,Education,100750,0
2853,Sai Singh,34,298673,Contract,636,260868,Education,102347,0
2854,Atharv Singh,42,672235,Salaried,625,1762361,Education,95359,0
2855,Ishaan Singh,34,479285,Salaried,741,100000,Debt Consolidation,8751,1
2856,Ananya Singh,33,450697,Salaried,721,650711,Home Renovation,139878,0
2857,Diya Singh,28,465384,Salaried,656,572815,Medical,69044,0
2858,Aadhya Singh,33,793707,Salaried,655,674993,Home Renovation,249780,1
2859,Aarohi Singh,40,487171,Self-Employed,667,106188,Debt Consolidation,112723,1
2860,Anika Singh,34,935467,Salaried,592,442814,Medical,140602,1
2861,Myra Singh,21,751807,Self-Employed,623,591437,Home Renovation,96154,0
2862,Sara Singh,49,1062223,Salaried,669,1644425,Car Purchase,316726,0
2863,Aisha Singh,21,606836,Salaried,668,781534,Debt Consolidation,275260,0
2864,Aarav Reddy,32,468981,Self-Employed,579,183381,Business Expansion,69587,1
2865,Vivaan Reddy,39,399832,Salaried,720,253203,Medical,71975,1
2866,Aditya Reddy,31,612343,Self-Employed,576,792849,Business Expansion,127260,0
2867,Vihaan Reddy,42,331481,Salaried,703,183355,Home Renovation,38218,1
2868,Arjun Reddy,35,699067,Salaried,647,251147,Home Renovation,276499,1
2869,Sai Reddy,44,419785,Salaried,701,764856,Home Renovation,218401,0
2870,Atharv Reddy,28,456322,Salaried,561,1217921,Debt Consolidation,182072,0
2871,Ishaan Reddy,31,427422,Salaried,661,497265,Car Purchase,30016,1
2872,Ananya Reddy,28,577781,Salaried,682,231951,Home Renovation,201952,1
2873,Diya Reddy,44,349705,Self-Employed,732,634594,Business Expansion,62073,0
2874,Aadhya Reddy,43,493700,Salaried,675,657332,Education,138877,0
2875,Aarohi Reddy,42,286832,Self-Employed,706,100167,Car Purchase,68049,1
2876,Anika Reddy,48,568362,Salaried,609,865268,Business Expansion,21582,0
2877,Myra Reddy,40,600406,Salaried,725,616670,Education,121474,1
2878,Sara Reddy,37,1131681,Self-Employed,614,503911,Education,422167,0
2879,Aisha Reddy,46,252115,Unemployed,659,259308,Debt Consolidation,87791,0
2880,Aarav Gupta,35,474842,Salaried,687,645585,Business Expansion,89814,0
2881,Vivaan Gupta,39,238909,Self-Employed,671,310033,Medical,21017,0
2882,Aditya Gupta,32,348178,Salaried,572,182219,Home Renovation,154973,0
2883,Vihaan Gupta,46,366941,Contract,578,474663,Medical,103864,0
2884,Arjun Gupta,34,511236,Self-Employed,642,329770,Business Expansion,216457,0
2885,Sai Gupta,34,760744,Salaried,714,870926,Home Renovation,293126,0
2886,Atharv Gupta,27,593749,Salaried,560,771791,Medical,37799,0
2887,Ishaan Gupta,26,386116,Salaried,621,579296,Education,40269,0
2888,Ananya Gupta,36,1227633,Self-Employed,597,1655141,Car Purchase,495918,0
2889,Diya Gupta,42,930552,Self-Employed,602,1347156,Car Purchase,539252,0
2890,Aadhya Gupta,31,625376,Contract,590,100000,Education,261906,0
2891,Aarohi Gupta,29,263727,Salaried,706,299550,Medical,82177,1
2892,Anika Gupta,40,587669,Salaried,639,580514,Education,223159,0
2893,Myra Gupta,32,309140,Salaried,608,155227,Home Renovation,160598,0
2894,Sara Gupta,21,599885,Salaried,587,789323,Home Renovation,78771,0
2895,Aisha Gupta,30,906675,Contract,613,1153375,Car Purchase,98007,0
2896,Aarav Das,41,150000,Unemployed,603,100000,Medical,1754,0
2897,Vivaan Das,37,839341,Self-Employed,702,671944,Car Purchase,225002,1
2898,Aditya Das,36,385339,Contract,647,392189,Medical,141242,0
2899,Vihaan Das,35,412603,Contract,591,217874,Home Renovation,146516,0
2900,Arjun Das,30,390863,Salaried,603,567469,Car Purchase,41057,0
2901,Sai Das,44,512343,Salaried,665,100000,Car Purchase,43189,1
2902,Atharv Das,34,352623,Self-Employed,605,747757,Business Expansion,104486,0
2903,Ishaan Das,40,1126872,Self-Employed,705,100000,Car Purchase,329850,1
2904,Ananya Das,41,698050,Contract,551,904105,Education,277306,0
2905,Diya Das,34,615889,Salaried,577,257005,Home Renovation,234067,1
2906,Aadhya Das,41,606931,Salaried,702,564720,Home Renovation,159261,1
2907,Aarohi Das,34,667041,Salaried,630,1129193,Home Renovation,79048,0
2908,Anika Das,34,604657,Self-Employed,625,100000,Debt Consolidation,184338,1
2909,Myra Das,35,1469227,Self-Employed,670,1723965,Car Purchase,324227,0
2910,Sara Das,33,438629,Salaried,653,617779,Education,102822,0
2911,Aisha Das,53,500929,Salaried,645,100000,Car Purchase,122066,1
2912,Aarav Mehta,44,542029,Salaried,615,408533,Business Expansion,193577,0
2913,Vivaan Mehta,22,365681,Contract,597,416969,Business Expansion,93366,0
2914,Aditya Mehta,52,419237,Self-Employed,660,187165,Home Renovation,182202,1
2915,Vihaan Mehta,21,393859,Contract,512,672737,Debt Consolidation,194017,0
2916,Arjun Mehta,38,327156,Salaried,731,237626,Car Purchase,0,1
2917,Sai Mehta,38,537630,Salaried,683,558962,Debt Consolidation,51586,1
2918,Atharv Mehta,55,538834,Salaried,731,458045,Debt Consolidation,117980,1
2919,Ishaan Mehta,21,714569,Salaried,604,1494492,Education,118076,0
2920,Ananya Mehta,26,238730,Salaried,690,415768,Car Purchase,79824,0
2921,Diya Mehta,35,977488,Salaried,692,1533013,Car Purchase,335462,0
2922,Aadhya Mehta,40,636726,Salaried,714,685656,Education,259667,0
2923,Aarohi Mehta,29,931643,Salaried,592,1231097,Education,107306,0
2924,Anika Mehta,36,532056,Salaried,727,100000,Debt Consolidation,256336,1
2925,Myra Mehta,45,669985,Salaried,685,370841,Home Renovation,204985,1
2926,Sara Mehta,31,653112,Salaried,648,1013828,Debt Consolidation,18825,0
2927,Aisha Mehta,29,569106,Salaried,656,385167,Medical,0,1
2928,Aarav Bose,40,419421,Salaried,710,153127,Car Purchase,23948,1
2929,Vivaan Bose,34,514528,Salaried,666,1213633,Education,121880,0
2930,Aditya Bose,21,554785,Salaried,628,258315,Medical,271486,1
2931,Vihaan Bose,42,639353,Salaried,661,1051735,Medical,129361,0
2932,Arjun Bose,23,732479,Salaried,602,100000,Medical,302771,1
2933,Sai Bose,29,625492,Salaried,673,727978,Business Expansion,0,0
2934,Atharv Bose,47,430808,Salaried,788,711435,Medical,113980,0
2935,Ishaan Bose,33,498124,Salaried,655,159224,Education,70930,1
2936,Ananya Bose,35,537591,Salaried,623,100000,Debt Consolidation,153361,1
2937,Diya Bose,37,767414,Salaried,633,1635437,Debt Consolidation,388603,0
2938,Aadhya Bose,32,427153,Salaried,668,302657,Medical,18471,1
2939,Aarohi Bose,21,683690,Salaried,625,195623,Medical,101684,1
2940,Anika Bose,32,539702,Salaried,683,764722,Business Expansion,0,0
2941,Myra Bose,34,520936,Salaried,671,115664,Medical,189929,1
2942,Sara Bose,33,223121,Unemployed,663,281296,Home Renovation,77863,0
2943,Aisha Bose,37,364199,Salaried,659,234264,Medical,104871,1
2944,Aarav Nair,47,829333,Salaried,672,641377,Education,314798,1
2945,Vivaan Nair,32,290634,Contract,567,100000,Medical,42107,0
2946,Aditya Nair,21,707397,Salaried,668,1140697,Education,219186,0
2947,Vihaan Nair,39,372637,Self-Employed,651,305943,Home Renovation,171261,0
2948,Arjun Nair,42,946566,Salaried,642,1510536,Car Purchase,161974,0
2949,Sai Nair,24,1190603,Self-Employed,667,1010039,Education,547025,0
2950,Atharv Nair,41,851342,Self-Employed,530,1538941,Education,329197,0
2951,Ishaan Nair,21,501123,Salaried,632,361721,Debt Consolidation,190323,0
2952,Ananya Nair,45,1291140,Salaried,759,1725482,Medical,219500,1
2953,Diya Nair,35,486879,Salaried,656,536650,Home Renovation,201138,0
2954,Aadhya Nair,46,546930,Salaried,641,425897,Debt Consolidation,69637,1
2955,Aarohi Nair,30,461824,Contract,564,344423,Medical,163063,0
2956,Anika Nair,21,290247,Self-Employed,733,319037,Debt Consolidation,0,1
2957,Myra Nair,29,344216,Contract,616,140577,Business Expansion,77397,0
2958,Sara Nair,30,867676,Salaried,581,613860,Home Renovation,185821,0
2959,Aisha Nair,31,681666,Salaried,662,885442,Education,93774,0
2960,Aarav Rao,41,748547,Salaried,654,1258444,Debt Consolidation,0,0
2961,Vivaan Rao,41,753372,Contract,604,849683,Car Purchase,177073,0
2962,Aditya Rao,31,687250,Salaried,643,1238325,Business Expansion,234040,0
2963,Vihaan Rao,33,496490,Salaried,642,758815,Education,0,0
2964,Arjun Rao,21,1135485,Salaried,727,2518337,Car Purchase,186005,0
2965,Sai Rao,40,1483563,Self-Employed,724,500221,Education,450013,1
2966,Atharv Rao,50,676594,Salaried,782,167085,Car Purchase,130809,1
2967,Ishaan Rao,26,1033445,Salaried,615,1708787,Education,342672,0
2968,Ananya Rao,34,391264,Contract,671,575831,Debt Consolidation,161125,0
2969,Diya Rao,33,645718,Salaried,582,100000,Car Purchase,158736,1
2970,Aadhya Rao,27,263079,Contract,557,370342,Car Purchase,40388,0
2971,Aarohi Rao,34,526119,Salaried,669,850430,Business Expansion,73364,0
2972,Anika Rao,29,150000,Unemployed,591,254250,Home Renovation,66057,0
2973,Myra Rao,40,907907,Contract,702,1307486,Car Purchase,62217,0
2974,Sara Rao,39,273943,Contract,562,497648,Business Expansion,41878,0
2975,Aisha Rao,45,981871,Salaried,614,1304492,Debt Consolidation,200249,0
2976,Aarav Mishra,41,1263211,Salaried,706,2321677,Debt Consolidation,273016,0
2977,Vivaan Mishra,36,475405,Salaried,675,244263,Education,44558,1
2978,Aditya Mishra,44,389162,Self-Employed,653,384061,Medical,207735,0
2979,Vihaan Mishra,37,184269,Contract,674,152975,Medical,26443,0
2980,Arjun Mishra,25,412862,Salaried,619,522743,Business Expansion,124209,0
2981,Sai Mishra,26,507137,Self-Employed,633,479616,Debt Consolidation,234786,0
2982,Atharv Mishra,36,249381,Self-Employed,698,100000,Home Renovation,32641,1
2983,Ishaan Mishra,40,622293,Self-Employed,676,490198,Education,292829,0
2984,Ananya Mishra,54,368107,Salaried,741,374711,Education,172863,1
2985,Diya Mishra,32,459373,Salaried,652,298688,Debt Consolidation,198265,0
2986,Aadhya Mishra,43,537020,Salaried,640,679196,Debt Consolidation,30867,0
2987,Aarohi Mishra,27,423753,Contract,650,207117,Medical,25198,1
2988,Anika Mishra,37,540236,Salaried,648,453945,Home Renovation,164120,0
2989,Myra Mishra,48,458506,Salaried,706,988488,Car Purchase,30474,0
2990,Sara Mishra,34,771847,Salaried,680,612512,Medical,25193,1
2991,Aisha Mishra,41,479379,Salaried,657,602181,Business Expansion,142447,0
2992,Aarav Chopra,35,401691,Self-Employed,659,548986,Education,132516,0
2993,Vivaan Chopra,29,660607,Salaried,678,1039765,Education,60257,0
2994,Aditya Chopra,30,423996,Contract,619,287867,Medical,172256,0
2995,Vihaan Chopra,28,892732,Salaried,643,669680,Debt Consolidation,189989,1
2996,Arjun Chopra,38,477595,Salaried,652,513389,Education,78760,1
2997,Sai Chopra,38,415742,Self-Employed,640,454345,Medical,42276,0
2998,Atharv Chopra,49,1406329,Contract,724,1870805,Car Purchase,627095,0
2999,Ishaan Chopra,29,557800,Salaried,637,723998,Education,191376,0
3000,Ananya Chopra,28,652215,Salaried,619,421778,Home Renovation,31176,1
3001,Diya Chopra,26,576502,Salaried,650,411600,Education,161905,1
3002,Aadhya Chopra,36,315832,Contract,618,100000,Debt Consolidation,51442,1
3003,Aarohi Chopra,21,578614,Salaried,658,457011,Car Purchase,174906,0
3004,Anika Chopra,43,827430,Salaried,764,1334139,Car Purchase,213538,1
3005,Myra Chopra,38,371175,Salaried,553,744820,Medical,82793,0
3006,Sara Chopra,33,678426,Salaried,662,361694,Business Expansion,90677,1
3007,Aisha Chopra,28,680472,Self-Employed,576,1388182,Home Renovation,217942,0
3008,Aarav Ghosh,29,406814,Salaried,610,501851,Debt Consolidation,17152,0
3009,Vivaan Ghosh,43,469215,Salaried,755,127072,Education,54456,1
3010,Aditya Ghosh,21,472697,Salaried,654,691889,Debt Consolidation,115343,0
3011,Vihaan Ghosh,40,344290,Salaried,727,100000,Medical,87995,1
3012,Arjun Ghosh,22,370614,Self-Employed,611,292893,Business Expansion,147781,0
3013,Sai Ghosh,31,518737,Self-Employed,683,373160,Business Expansion,57840,1
3014,Atharv Ghosh,29,394967,Salaried,631,666037,Debt Consolidation,26166,0
3015,Ishaan Ghosh,23,570109,Self-Employed,582,584567,Car Purchase,183077,0
3016,Ananya Ghosh,34,313237,Salaried,631,294439,Car Purchase,56928,0
3017,Diya Ghosh,38,718466,Self-Employed,634,645389,Car Purchase,35551,1
3018,Aadhya Ghosh,44,160219,Contract,566,204618,Debt Consolidation,30288,0
3019,Aarohi Ghosh,25,755765,Salaried,622,859568,Debt Consolidation,183405,1
3020,Anika Ghosh,35,393078,Salaried,705,643856,Education,80653,0
3021,Myra Ghosh,28,418256,Salaried,669,548168,Debt Consolidation,110285,0
3022,Sara Ghosh,29,201421,Contract,643,389822,Medical,0,0
3023,Aisha Ghosh,33,1380375,Self-Employed,590,2536323,Education,270216,0
3024,Aarav Sharma,35,412895,Salaried,640,640578,Car Purchase,103702,0
3025,Vivaan Sharma,34,654121,Salaried,633,166074,Medical,132008,1
3026,Aditya Sharma,47,255881,Salaried,690,341115,Car Purchase,128143,0
3027,Vihaan Sharma,51,414333,Contract,661,136219,Medical,103736,1
3028,Arjun Sharma,31,672723,Salaried,641,397521,Education,0,1
3029,Sai Sharma,44,652414,Salaried,736,381811,Education,173044,1
3030,Atharv Sharma,31,653476,Salaried,641,921823,Debt Consolidation,325373,0
3031,Ishaan Sharma,35,1604344,Self-Employed,693,377094,Home Renovation,271109,1
3032,Ananya Sharma,38,766175,Salaried,710,167377,Debt Consolidation,350416,1
3033,Diya Sharma,29,691281,Salaried,659,591543,Medical,34583,1
3034,Aadhya Sharma,28,739866,Salaried,621,983362,Debt Consolidation,272684,0
3035,Aarohi Sharma,36,542738,Salaried,598,1041569,Car Purchase,243487,0
3036,Anika Sharma,44,864470,Salaried,694,857168,Education,406278,0
3037,Myra Sharma,41,704150,Self-Employed,678,444865,Education,161191,1
3038,Sara Sharma,21,481772,Salaried,587,417463,Home Renovation,58383,0
3039,Aisha Sharma,41,150000,Unemployed,651,100000,Education,74247,0
3040,Aarav Verma,45,595645,Contract,635,100000,Home Renovation,148027,1
3041,Vivaan Verma,27,875262,Contract,580,1291761,Business Expansion,277127,0
3042,Aditya Verma,31,736936,Contract,641,1473717,Medical,256369,0
3043,Vihaan Verma,34,801889,Salaried,579,892525,Home Renovation,283273,0
3044,Arjun Verma,50,281013,Unemployed,671,246614,Car Purchase,126283,0
3045,Sai Verma,30,403368,Salaried,614,216077,Home Renovation,59705,1
3046,Atharv Verma,46,536403,Self-Employed,710,694349,Business Expansion,157418,0
3047,Ishaan Verma,40,462221,Contract,594,341239,Debt Consolidation,53407,0
3048,Ananya Verma,40,968403,Self-Employed,650,1234353,Car Purchase,307622,0
3049,Diya Verma,34,500155,Salaried,688,816998,Medical,133634,0
3050,Aadhya Verma,44,1034942,Salaried,668,757561,Education,511324,1
3051,Aarohi Verma,21,319678,Contract,643,153424,Education,150178,0
3052,Anika Verma,45,1124931,Self-Employed,683,1040968,Debt Consolidation,0,1
3053,Myra Verma,51,348569,Contract,589,183568,Medical,137755,0
3054,Sara Verma,34,730803,Salaried,658,1221528,Education,268172,0
3055,Aisha Verma,44,262469,Contract,652,467645,Debt Consolidation,93635,0
3056,Aarav Iyer,37,459232,Salaried,609,803620,Business Expansion,98361,0
3057,Vivaan Iyer,44,302752,Salaried,600,266091,Medical,104281,0
3058,Aditya Iyer,34,539133,Contract,596,369415,Car Purchase,153302,0
3059,Vihaan Iyer,30,347252,Salaried,663,572631,Home Renovation,25668,0
3060,Arjun Iyer,33,658146,Salaried,685,557641,Debt Consolidation,264264,0
3061,Sai Iyer,32,540787,Salaried,637,304516,Education,115704,1
3062,Atharv Iyer,37,968782,Self-Employed,591,788983,Medical,429539,0
3063,Ishaan Iyer,35,346168,Unemployed,585,285925,Education,204525,0
3064,Ananya Iyer,41,455988,Contract,607,155482,Debt Consolidation,242194,0
3065,Diya Iyer,46,489128,Salaried,634,514409,Business Expansion,59648,0
3066,Aadhya Iyer,38,412214,Self-Employed,644,534614,Medical,205353,0
3067,Aarohi Iyer,28,474927,Salaried,687,584273,Home Renovation,251854,0
3068,Anika Iyer,45,419916,Self-Employed,646,270609,Medical,101965,1
3069,Myra Iyer,29,423383,Salaried,687,323409,Debt Consolidation,81710,1
3070,Sara Iyer,27,371539,Salaried,735,100000,Medical,132315,1
3071,Aisha Iyer,27,695971,Salaried,561,483701,Business Expansion,187858,0
3072,Aarav Kumar,24,933163,Self-Employed,628,459031,Debt Consolidation,259278,0
3073,Vivaan Kumar,39,340630,Salaried,679,669065,Debt Consolidation,42487,0
3074,Aditya Kumar,38,359127,Contract,588,388707,Car Purchase,79442,0
3075,Vihaan Kumar,32,628353,Salaried,594,742525,Home Renovation,115488,0
3076,Arjun Kumar,45,366789,Contract,649,376504,Home Renovation,0,0
3077,Sai Kumar,43,512191,Salaried,570,551490,Debt Consolidation,64086,0
3078,Atharv Kumar,21,345045,Salaried,670,437940,Education,0,1
3079,Ishaan Kumar,34,496774,Salaried,656,327268,Car Purchase,93178,1
3080,Ananya Kumar,36,785921,Self-Employed,614,193084,Education,113167,1
3081,Diya Kumar,33,349671,Unemployed,638,315289,Education,157404,0
3082,Aadhya Kumar,36,256225,Contract,631,321232,Debt Consolidation,112963,0
3083,Aarohi Kumar,26,382512,Salaried,621,606686,Home Renovation,224691,0
3084,Anika Kumar,35,296177,Salaried,654,358210,Business Expansion,124521,0
3085,Myra Kumar,27,285686,Salaried,587,100000,Business Expansion,36272,1
3086,Sara Kumar,38,153202,Unemployed,640,156010,Medical,34914,0
3087,Aisha Kumar,30,439614,Salaried,653,539850,Education,0,0
3088,Aarav Patel,34,440425,Salaried,636,143068,Car Purchase,0,1
3089,Vivaan Patel,34,1020541,Salaried,633,1778134,Debt Consolidation,271519,0
3090,Aditya Patel,34,690429,Self-Employed,603,738299,Business Expansion,225645,0
3091,Vihaan Patel,41,606514,Salaried,713,688243,Education,107093,0
